,ANO,TIPO_EVASAO,Evadidos,TotalGeral,Evasoes a cada 100 alunos
135,2014,JUBILAMENTO,0.0,729,0.0
136,2019,TODOS SOMADOS,140.0,364,38.46
137,2018,TODOS SOMADOS,303.0,712,42.56
138,2003,TODOS SOMADOS,41.0,456,8.99
139,2004,TODOS SOMADOS,81.0,430,18.84
140,2005,TODOS SOMADOS,72.0,425,16.94
141,2006,TODOS SOMADOS,74.0,424,17.45
142,2007,TODOS SOMADOS,55.0,408,13.48
143,2008,TODOS SOMADOS,58.0,387,14.99
144,2009,TODOS SOMADOS,90.0,455,19.78
145,2010,TODOS SOMADOS,124.0,494,25.1
146,2011,TODOS SOMADOS,147.0,584,25.17
147,2012,TODOS SOMADOS,233.0,677,34.42
148,2013,TODOS SOMADOS,234.0,717,32.64
149,2014,TODOS SOMADOS,240.0,729,32.92
150,2015,TODOS SOMADOS,303.0,762,39.76
151,2016,TODOS SOMADOS,299.0,757,39.5
152,2017,TODOS SOMADOS,252.0,713,35.34
